output_id,name,acronym,red,green,blue,graph_order,parent_ID,parent_acronym
997,root,root,255,255,255,0,997,root
8,Basic cell groups and regions,grey,191,218,227,1,997,root
1009,fiber tracts,fiber tracts,204,204,204,1101,997,root
967,cranial nerves,cm,204,204,204,1102,1009,fiber tracts
949,vomeronasal nerve,von,204,204,204,1104,967,cm
840,olfactory nerve,In,204,204,204,1105,967,cm
1016,olfactory nerve layer of main olfactory bulb,onl,204,204,204,1106,840,In
21,"lateral olfactory tract, general",lotg,204,204,204,1107,840,In
665,"lateral olfactory tract, body",lot,204,204,204,1108,21,lotg
538,dorsal limb,lotd,204,204,204,1109,21,lotg
900,"anterior commissure, olfactory limb",aco,204,204,204,1111,840,In
848,optic nerve,IIn,204,204,204,1112,967,cm
916,brachium of the superior colliculus,bsc,204,204,204,1114,848,IIn
336,superior colliculus commissure,csc,204,204,204,1115,848,IIn
117,optic chiasm,och,204,204,204,1116,848,IIn
125,optic tract,opt,204,204,204,1117,848,IIn
832,oculomotor nerve,IIIn,204,204,204,1119,967,cm
62,medial longitudinal fascicle,mlf,204,204,204,1120,832,IIIn
158,posterior commissure,pc,204,204,204,1121,832,IIIn
911,trochlear nerve,IVn,204,204,204,1122,967,cm
901,trigeminal nerve,Vn,204,204,204,1125,967,cm
93,motor root of the trigeminal nerve,moV,204,204,204,1126,901,Vn
229,sensory root of the trigeminal nerve,sV,204,204,204,1127,901,Vn
794,spinal tract of the trigeminal nerve,sptV,204,204,204,1129,229,sV
798,facial nerve,VIIn,204,204,204,1130,967,cm
1116,genu of the facial nerve,gVIIn,204,204,204,1132,798,VIIn
933,vestibulocochlear nerve,VIIIn,204,204,204,1133,967,cm
413,vestibular nerve,vVIIIn,204,204,204,1135,933,VIIIn
948,cochlear nerve,cVIIIn,204,204,204,1136,933,VIIIn
841,trapezoid body,tb,204,204,204,1137,948,cVIIIn
506,dorsal acoustic stria,das,204,204,204,1139,948,cVIIIn
658,lateral lemniscus,ll,204,204,204,1140,948,cVIIIn
633,inferior colliculus commissure,cic,204,204,204,1141,948,cVIIIn
482,brachium of the inferior colliculus,bic,204,204,204,1142,948,cVIIIn
917,vagus nerve,Xn,204,204,204,1144,967,cm
237,solitary tract,ts,204,204,204,1145,917,Xn
792,dorsal roots,drt,204,204,204,1149,967,cm
932,cervicothalamic tract,cett,204,204,204,1150,792,drt
514,dorsal column,dc,204,204,204,1155,932,cett
380,cuneate fascicle,cuf,204,204,204,1156,514,dc
697,medial lemniscus,ml,204,204,204,1159,932,cett
960,cerebellum related fiber tracts,cbf,204,204,204,1171,1009,fiber tracts
744,cerebellar commissure,cbc,204,204,204,1172,960,cbf
752,cerebellar peduncles,cbp,204,204,204,1173,960,cbf
326,superior cerebelar peduncles,scp,204,204,204,1174,752,cbp
812,superior cerebellar peduncle decussation,dscp,204,204,204,1175,326,scp
850,uncinate fascicle,uf,204,204,204,1177,326,scp
866,ventral spinocerebellar tract,sctv,204,204,204,1178,326,scp
78,middle cerebellar peduncle,mcp,204,204,204,1179,752,cbp
1123,inferior cerebellar peduncle,icp,204,204,204,1180,752,cbp
